Año,MUNICIPIO,ESTABLECIMIENTO EDUCATIVO,SEDE EDUCATIVA,CODIGO DANE IE,ZONA,MATRICULA CORTE SIMAT 24 DE SEPTIEMBRE 2019,COMPLEMENTO ALIM. AM Y PM,COMPLEMENTO TIPO ALMUERZO,TOTAL DE CUPOS ASIGNADOS POR SEDE
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE AXDOSARIDA,254245800004,RURAL,11,11,0,11
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE BEBOQUIRA,254810001382,RURAL,10,10,0,10
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE BRYDICAYRA,254206000912,RURAL,14,14,0,14
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE CAXBARINOYAIRA,254810000866,RURAL,19,19,0,19
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE ICHIRRINDACAYRA,254245800021,RURAL,32,32,0,32
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA BRUBUCARINA,254810001030,RURAL,22,22,0,22
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA OCBABUDA,254800001350,RURAL,12,12,0,12
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA SHUCBACBARINA,254800002323,RURAL,19,19,0,19
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA YERA,254800002355,RURAL,14,14,0,14
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE IQUIACARORA,254245001560,RURAL,69,69,0,69
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE KORRONKAIRA,254245001535,RURAL,20,20,0,20
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE PATHUINA,254245001462,RURAL,14,14,0,14
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE SAPHADANA,254810001102,RURAL,27,27,0,27
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA) - SEDE PRINCIPAL,254820001607,RURAL,96,96,0,96
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ANTETA,254174000702,RURAL,40,40,0,40
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE BAKO KUIRA,254174000648,RURAL,15,15,0,15
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE BURARA,254820001739,RURAL,17,17,0,17
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ETNOEDUCATIVA KUITUA,254820001721,RURAL,9,9,0,9
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ETNOEDUCATIVA SHEJKARA,254820001593,RURAL,12,12,0,12
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE IHURIMA,254820001747,RURAL,21,21,0,21
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE KANORIWA,254820001585,RURAL,22,22,0,22
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ONKASA,254820001755,RURAL,26,26,0,26
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE RURITOA,254820001763,RURAL,14,14,0,14
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SIRIO-KUSA,254174000681,RURAL,15,15,0,15
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SISIERA,254820001687,RURAL,22,22,0,22
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SORKOTA,254174000711,RURAL,49,49,0,49
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE TABUT AK LIA,254174000362,RURAL,18,18,0,18
2020,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE TEGURA,254174000192,RURAL,11,11,0,11
